Date,Rating,Review Title,Review Text
"2026-07-10T08:39:39.000Z",5,"Great","Best UI and easy to use app"
"2026-07-10T08:19:33.000Z",5,"Good app","Good app"
"2026-07-10T08:14:42.000Z",5,"Super","Nice wark"
"2026-07-10T06:50:51.000Z",1,"Worst customer support","yesterday i sold my share in loss bcz i need money, now i m facing withdrawal issue today and i tried thousands of times call n chat but its unavailable, calls automatically disconnected today is friday now i m waiting for my money for 4 days wtf! i want to pay my bills who pay my late charges ?????????"
"2026-07-10T06:26:09.000Z",3,"Unable to withdraw money","Unable to withdraw money"
"2026-07-10T06:18:32.000Z",5,"Good one pocket","This one is the best place where we can save money"
"2026-07-10T06:09:00.000Z",5,"Amrinder","No. 1"
"2026-07-10T06:08:23.000Z",1,"Getting errors while processing withdrawals","Getting errors to make withdrawals"
"2026-07-10T06:05:26.000Z",5,"Garima","User friendly application"
"2026-07-10T06:01:25.000Z",5,"Mr","Good app for traders is simple"
"2026-07-10T06:00:26.000Z",5,"SIP","Full trust on this app….i m investing on sip and bonds"
"2026-07-10T05:45:04.000Z",1,"overrated rubbish app","at the time of withdrawal it was showing no balance to withdraw, customer support will only support you by saying just wait and wait."
"2026-07-10T05:02:30.000Z",5,"Good","Good"
"2026-07-10T04:46:05.000Z",5,"NEST APPS","Best Apps for share market"
"2026-07-10T04:43:09.000Z",5,"Amazing app","Simple and effective"
"2026-07-10T04:42:07.000Z",5,"Grow","Amazing"
"2026-07-10T04:41:10.000Z",1,"Cheep aap for trading","Realy"
"2026-07-10T04:39:07.000Z",5,"Saurabh","Very good"
"2026-07-10T04:35:58.000Z",1,"Full scam","My experience with Groww has been very disappointing. After depositing money, I was unable to withdraw my funds because the app kept showing a “Withdraw Unable” error. My money remained blocked without a clear explanation. I was also charged fees that seemed unnecessary, and I did not receive a satisfactory explanation for them. Customer support was not helpful in resolving my issue. Based on my personal experience, I would not recommend this app."
"2026-07-10T04:25:40.000Z",5,"Review","User friendly"
"2026-07-10T04:18:10.000Z",5,"Superb app","Very easy and handy"
"2026-07-10T04:05:32.000Z",1,"Number 1 Chor Aap","Cant go below 1star"
"2026-07-10T04:04:14.000Z",5,"Good","Good"
"2026-07-10T03:43:35.000Z",5,"MF PREVIOUS IS BETTER THAN NOW","Dashboard update PREVIOUS IS BETTER THAN NOW"
"2026-07-10T03:40:15.000Z",5,"He","H"
"2026-07-10T03:14:47.000Z",4,"Reality Growth","Automation done, and no human interaction or any demo to use the product"
"2026-07-10T03:12:19.000Z",5,"Best app","Best app for f&o best app for equity best app for Mtf over all Groww is a best app for traders"
"2026-07-10T02:55:55.000Z",5,"grow with it","good"
"2026-07-10T02:16:18.000Z",5,"Good app","Good app"
"2026-07-10T02:04:14.000Z",5,"Veg","Veg"
"2026-07-10T00:37:40.000Z",5,"Groww","It’s a great way to start your savings plan"
"2026-07-10T00:33:35.000Z",5,"Specially thanks for the mutual fund","The grow aap is very helpful for the mutual fund mostly this is the provided  lower tax and multiple companies for the investment and very easy process  sale and buy"
"2026-07-10T00:07:41.000Z",5,"Good work","Keep it up"
"2026-07-09T18:07:02.000Z",5,"Good","User friendly"
"2026-07-09T17:39:58.000Z",5,"Effective and simple app to use","Great app."
"2026-07-09T17:14:59.000Z",4,"Good with new updates","Nice app with speed transactions"
"2026-07-09T17:09:53.000Z",5,"Op","Op"
"2026-07-09T16:52:01.000Z",5,"Overall Good","Very easy to operate means user friendly app"
"2026-07-09T16:39:19.000Z",5,"Shravan","Verry nice"
"2026-07-09T16:16:00.000Z",4,"Feedback","Good"
"2026-07-09T16:09:25.000Z",5,"Good","Fantastic"
"2026-07-09T15:53:39.000Z",5,"Mindset","Grow"
"2026-07-09T15:32:31.000Z",5,"Good","Very good aap"
"2026-07-09T15:16:04.000Z",5,"Mutual fund","👍"
"2026-07-09T14:58:12.000Z",5,"Rajdeep","Rajdeep"
"2026-07-09T14:36:03.000Z",5,"Best platform","I’ve been using Groww since some time, and I would say the platform has got a best interface, user friendly, and you find everything in one place. Strongly suggest Groww for new joiners as well as the existing investors using other platforms to have a sneak peak on Groww, you might change your mind! Thanks Groww,
Sri"
"2026-07-09T12:33:51.000Z",5,"Gud","👍🍀🌴🪴"
"2026-07-09T11:52:52.000Z",5,"Very good","Good"
"2026-07-09T11:48:05.000Z",5,"Very Good app","Very easy to use  transfer money add money with in seconds"
"2026-07-09T11:42:24.000Z",5,"Good","Good platform"
"2026-07-09T11:42:24.000Z",5,"Good","Good platform"
"2026-07-09T11:07:56.000Z",5,"Very cool","Very good service"
"2026-07-09T08:45:09.000Z",5,"Stocks","The app is really user friendly and the customer care is also too supportive."
"2026-07-09T08:21:58.000Z",5,"Excellent portal","Very useful & user friendly."
"2026-07-09T07:23:42.000Z",5,"Good one","Hi grown yours services is better then other app I like yet"
"2026-07-09T06:53:20.000Z",5,"Good","Nice"
"2026-07-09T06:49:12.000Z",5,"Best app","One of the best app to use."
"2026-07-09T06:30:44.000Z",5,"Very good experience","Very good"
"2026-07-09T06:13:45.000Z",5,"Good app","it make 50cr in my life"
"2026-07-09T06:11:46.000Z",5,"Stock Management","Great experience."
"2026-07-09T06:10:21.000Z",5,"Excellent","Very good platform. Nicely built."
"2026-07-09T05:50:36.000Z",5,"Groww app","Best app"
"2026-07-09T05:10:07.000Z",5,"🫡🫡","🫶🫶osm"
