Date,Rating,Review Title,Review Text
"2026-07-10T14:42:47.318Z",5,"Play Store Review","it's really very nice"
"2026-07-10T14:39:20.995Z",5,"Play Store Review","👍"
"2026-07-10T14:33:00.492Z",5,"Play Store Review","groww is nice investment app"
"2026-07-10T14:25:10.803Z",1,"Play Store Review","very poor service, ek 500 withdraw ko 10 din lga diye.. so poor service"
"2026-07-10T14:23:48.729Z",5,"Play Store Review","nice"
"2026-07-10T14:23:46.324Z",5,"Play Store Review","Nice experience 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻"
"2026-07-10T14:13:39.233Z",5,"Play Store Review","ok"
"2026-07-10T13:52:51.443Z",5,"Play Store Review","good service"
"2026-07-10T13:42:29.642Z",5,"Play Store Review","nice"
"2026-07-10T13:27:41.533Z",1,"Play Store Review","support team is worst"
"2026-07-10T12:26:17.350Z",5,"Play Store Review","i am gain my experience with groww . it's easy to use and beginners friendly"
"2026-07-10T12:11:19.481Z",5,"Play Store Review","nice updates"
"2026-07-10T12:06:43.201Z",5,"Play Store Review","nice"
"2026-07-10T11:57:37.391Z",4,"Play Store Review","good experience"
"2026-07-10T11:51:16.678Z",5,"Play Store Review","good one"
"2026-07-10T11:46:09.247Z",5,"Play Store Review","one of the best app"
"2026-07-10T11:43:37.855Z",5,"Play Store Review","seamless experience"
"2026-07-10T11:40:54.396Z",5,"Play Store Review","nice"
"2026-07-10T11:33:13.778Z",5,"Play Store Review","new update"
"2026-07-10T11:27:25.390Z",5,"Play Store Review","ok"
"2026-07-10T11:22:09.895Z",5,"Play Store Review","ok"
"2026-07-10T11:08:06.318Z",1,"Play Store Review","worst app lags alot. order and sell gets executed randomly. customer care is bad too much delay. something goes wrong they will just justify instead of helping"
"2026-07-10T11:05:45.996Z",1,"Play Store Review","I have problem with Groww API Trading, The customer care should change their name to careless team, it's been 2 weeks the problem has not been resolved, I had rated it 5 before now changing it to 1 rating."
"2026-07-10T11:03:29.406Z",5,"Play Store Review","very good 👍"
"2026-07-10T10:34:35.189Z",5,"Play Store Review","very good"
"2026-07-10T10:32:39.551Z",5,"Play Store Review","HAPPY TO USE"
"2026-07-10T10:27:20.874Z",5,"Play Store Review","good"
"2026-07-10T10:09:19.760Z",5,"Play Store Review","super Super"
"2026-07-10T10:00:40.700Z",1,"Play Store Review","I am disappointed with the Service of Groww. We do not have option to talk with any of their representative, though the Phone number is given in the help section. If anyone want to open demat account please check for other apps, who support through phone in case of emergency. I had lost enough due to some system error in Groww App."
"2026-07-10T09:59:41.481Z",5,"Play Store Review","excellent 👌"
"2026-07-10T09:57:42.514Z",5,"Play Store Review","good 👍"
"2026-07-10T09:54:40.855Z",1,"Play Store Review","very poor customer care service"
"2026-07-10T09:54:33.648Z",5,"Play Store Review","... 👌 experience"
"2026-07-10T09:51:53.531Z",5,"Play Store Review","good app"
"2026-07-10T09:44:29.972Z",1,"Play Store Review","very bad experience some time withdraw request not working.if incase withdrawal money not reflected.custumer support team not well.instant withdrawal not working.chat support auto disconnected.overall worst experience."
"2026-07-10T09:39:29.674Z",5,"Play Store Review","ok"
"2026-07-10T09:34:05.331Z",5,"Play Store Review","superb"
"2026-07-10T09:29:55.761Z",5,"Play Store Review","Highly recommend than other broker apps for beginners"
"2026-07-10T09:26:37.980Z",5,"Play Store Review","thank"
"2026-07-10T09:20:02.717Z",5,"Play Store Review","excellent 👌"
"2026-07-10T09:18:35.402Z",5,"Play Store Review","nice"
"2026-07-10T09:02:04.403Z",5,"Play Store Review","nice beautiful apps very good 👍"
"2026-07-10T08:58:27.439Z",5,"Play Store Review","super👑🇮🇳🇮🇳🇮🇳"
"2026-07-10T08:57:03.599Z",5,"Play Store Review","it is good"
"2026-07-10T08:51:14.290Z",5,"Play Store Review","good for use"
"2026-07-10T08:50:16.240Z",5,"Play Store Review","Good"
"2026-07-10T08:43:38.725Z",3,"Play Store Review","good"
"2026-07-10T08:31:39.710Z",5,"Play Store Review","Fantastic"
"2026-07-10T08:31:05.380Z",2,"Play Store Review","this app is user friendly and with good interface but since the last few months ,their customer support service has became too bad. There would be no one to help if you have any problem."
"2026-07-10T08:26:39.510Z",5,"Play Store Review","Great work all of you from GROWW"
"2026-07-10T08:15:10.672Z",5,"Play Store Review","good 😊💯"
"2026-07-10T08:10:46.339Z",5,"Play Store Review","good"
"2026-07-10T08:10:39.140Z",5,"Play Store Review","super"
"2026-07-10T08:07:42.216Z",4,"Play Store Review","good 👍"
"2026-07-10T08:07:33.370Z",1,"Play Store Review","The trading view chart is not open and groww chart is very low qality"
"2026-07-10T07:58:56.704Z",1,"Play Store Review","bad experience"
"2026-07-10T07:56:55.341Z",4,"Play Store Review","Grow can have new features such as insights on performance of portfolio recommendation on portfolio"
"2026-07-10T07:52:09.867Z",5,"Play Store Review","good"
"2026-07-10T07:49:35.239Z",1,"Play Store Review","They make it unnecessarily hard to transfer and close your demat account. The way they process queries tests your patience. The customer care ends conversation abruptly when it is related to closure. They make it unnecessarily expensive to transfer your holdings, hoping you will give up."
"2026-07-10T07:45:36.374Z",5,"Play Store Review","groww app is the best"
"2026-07-10T07:43:55.834Z",1,"Play Store Review","Worst service ever experienced by you Dalals when I want to average my trade my money has been debited from the account but not added to grow that put me in a loss of 78000 whose gonna pay for it. I have been trying to connect to the coustomer executive team there are not even answering the call. Worst service ever Not gonna use the platform ever in my entire life biggest loss ever I have maded it from a small small amount and by your glitch I LOST EVERYTHING"
"2026-07-10T07:34:37.490Z",5,"Play Store Review","excellent app I use user friendly"
"2026-07-10T07:27:49.430Z",5,"Play Store Review","nice"
"2026-07-10T07:27:19.334Z",1,"Play Store Review","WAAHIYAAT APP HAI, ITNE TECHNICAL ERRORS DUSRE KISI BHI APP ME NAI AATE JITNE ISME AATE HAI."
"2026-07-10T07:22:22.404Z",1,"Play Store Review","Mera pesa gi withdrawal na hi ho rahehe"
"2026-07-10T07:22:04.382Z",5,"Play Store Review","good for biginars.helpful"
"2026-07-10T07:20:03.710Z",1,"Play Store Review","I had one of the worst experience here. I cant sell my order . There is no OCO order. Its literally bad i felt. Then there is no way ypu can place a gtt order without paymemt of 100 for ddpi . I used kite for 3 years and yeah it was so good. Tried groww 3 years back and its even worse now. you guys expect someone to pay 100 for every order for selling. your sulport is pathetic."
"2026-07-10T07:18:45.722Z",4,"Play Store Review","simpal"
"2026-07-10T07:14:40.152Z",1,"Play Store Review","Am quiting grow. This not up to level am expected. Even cheap companys give even more quality customer support"
"2026-07-10T07:14:10.958Z",5,"Play Store Review","Groww is an excellent investment app that makes investing simple for both beginners and experienced users. The interface is clean, easy to navigate"
"2026-07-10T07:13:31.588Z",5,"Play Store Review","very good 👍"
"2026-07-10T07:12:29.122Z",5,"Play Store Review","best"
"2026-07-10T07:12:06.165Z",1,"Play Store Review","No proper customer support, unable to withdraw and very very bad experience with Grow..."
"2026-07-10T07:11:54.357Z",1,"Play Store Review","highly low quality customer support.no one to give a response"
"2026-07-10T07:10:44.653Z",1,"Play Store Review","Lot of issues. The amount is not loading properly to the wallet, I tried this morning and fed up. After too many failed attempts then the amount got credited to the wallet. I am not sure if they have a testing team.w"
"2026-07-10T07:10:42.282Z",1,"Play Store Review","worst app hai"
